Time_period,Total_UK National,Net_tourism,Total_UK Domestic,Food_drink_UK_Domestic,Alcohol_tobacco_UK Domestic,Clothing_footwear_UK Domestic,Housing_UK_Domestic,Household_goods _services_UK_Domestic,Health_UK_Domestic,Transport_UK_Domestic,Communication_UK_Domestic,Recreation_culture_UK Domestic,Education_UK_Domestic,Restaurants_hote_UK Domestic,Miscellaneous_UK_Domestic
1985 Q1,141730,-1348,141898,16938,11908,3704,54951,5254,2813,27180,96,5748,3130,23107,11121
1985 Q2,142472,-1466,142919,17152,11735,3784,55719,5284,2823,27398,93,5811,3119,23021,11134
1985 Q3,144493,-1534,145102,17226,11768,3830,55918,5408,2879,28007,95,6029,3171,23545,11534
1985 Q4,145621,-819,145764,17428,11660,3904,56065,5558,3017,27363,99,6113,3166,23230,11862
1986 Q1,149625,-860,148913,17668,11749,4008,56656,5609,2834,28521,91,6028,3034,24590,12560
1986 Q2,151978,-514,151299,17809,11696,4084,56825,5747,2925,29455,113,6227,3130,24289,12933
1986 Q3,152962,-245,152171,17960,11756,4132,56704,5883,3245,29571,101,6493,3187,23868,13163
1986 Q4,153702,-744,154624,18201,11922,4128,56783,6121,3219,29902,113,7170,3295,23739,13415
1987 Q1,155439,-286,154531,17850,11831,4159,57791,6006,3318,29676,100,6673,3111,23835,13931
1987 Q2,158041,-256,157313,18089,12002,4251,57511,6163,3488,30478,111,6935,3140,24374,14446
1987 Q3,161305,-96,160465,18660,12041,4319,57807,6342,3366,31015,113,7236,3265,24862,15091
1987 Q4,164878,366,163947,19073,12171,4412,58485,6699,3280,31617,124,7743,3393,25522,15042
1988 Q1,167118,466,165588,19135,12278,4401,58998,6590,3371,33089,108,7504,3048,25734,15759
1988 Q2,169500,772,167350,18681,12294,4436,58954,6777,3364,33249,116,7764,3204,26626,16259
1988 Q3,173440,1195,171189,18828,12431,4489,59670,7046,3635,34374,129,8006,3331,26943,16856
1988 Q4,174977,1045,173919,18802,12699,4548,60023,7259,3647,34232,138,8451,3552,27937,17240
1989 Q1,176456,1186,173617,19274,12717,4530,59677,7031,3437,34771,121,8348,3348,27624,17506
1989 Q2,177960,906,175886,19475,12870,4517,60492,6902,3670,35321,132,8458,3516,27685,17939
1989 Q3,177788,1162,175895,19168,12953,4461,60509,6887,3842,34556,134,8574,3732,27887,18257
1989 Q4,178541,747,177773,19313,13091,4438,61180,7144,3709,34523,143,8905,3957,27803,18452
1990 Q1,180618,671,177615,19205,13078,4640,60968,7184,3539,34485,125,9159,3694,27702,18294
1990 Q2,180979,869,178724,19492,13193,4541,61581,6939,3656,34542,145,8923,3931,28200,18520
1990 Q3,179811,913,178031,19177,13335,4531,61890,6783,3667,33602,143,8904,4208,28294,18603
1990 Q4,179595,1217,179285,19346,13655,4459,62058,6958,3847,33097,152,9359,4467,28685,18256
1991 Q1,179314,1353,175514,19241,13125,4519,62140,6934,3395,30969,130,8984,4306,28012,18167
1991 Q2,178053,1219,175508,19404,13258,4502,62273,6852,3882,30114,142,8922,4533,27679,18187
1991 Q3,178202,1755,175731,19490,13499,4568,61610,6897,3706,30854,142,8702,4781,27971,18223
1991 Q4,178197,1590,177752,19488,13721,4543,62111,7003,4108,30250,156,9275,5038,28894,17816
1992 Q1,177645,1892,174385,19141,13682,4594,61343,7118,3438,29318,135,8877,4718,28821,17639
1992 Q2,180068,2027,177044,19662,13543,4722,61411,7310,3654,30121,145,9074,4964,28289,18268
1992 Q3,181075,2398,177920,19954,13430,4855,61914,7398,3532,29952,146,9204,5153,28101,18179
1992 Q4,181426,1927,179771,19999,13196,4903,62045,7513,3567,30235,165,9572,5355,28407,18262
1993 Q1,182898,1153,180065,20013,13652,5006,61747,7694,3170,30044,148,9351,5000,29432,18787
1993 Q2,183300,1798,180322,20068,13622,5038,62068,7765,3257,29863,159,9428,5095,28726,18599
1993 Q3,186406,1849,183716,19921,13658,5141,62674,8040,3473,30844,169,9560,5232,29751,19017
1993 Q4,187862,2160,186367,20642,13683,5287,63271,8093,3728,31023,174,10049,5376,29009,19309
1994 Q1,189820,2657,185688,20661,13828,5272,62763,8256,3786,30932,175,10069,4823,28831,19082
1994 Q2,190126,2471,186573,20257,13834,5464,63124,8439,3864,31103,175,10086,5129,29195,18918
1994 Q3,191745,2691,188765,20459,13836,5641,63025,8529,3863,31592,183,10275,5193,29610,19373
1994 Q4,193174,3017,190592,20457,14336,5775,63521,8794,3957,31126,198,10638,5326,29372,19227
1995 Q1,193065,2306,189814,20966,13730,5773,63283,8628,4148,31114,184,10868,5146,29569,18767
1995 Q2,194528,2611,191004,20440,13750,5955,63435,8631,3903,31446,191,11081,5471,29641,19190
1995 Q3,195239,2285,192705,20645,14076,6040,63555,8722,3877,31362,200,11247,5563,29814,19523
1995 Q4,197752,2210,195508,20325,14414,6174,63933,8988,3946,32061,210,11769,5654,29994,19691
1996 Q1,199735,2741,196374,20859,14459,6223,64395,8635,3715,33046,202,11717,5545,30467,19516
1996 Q2,201336,2264,198011,20622,14720,6429,64920,8998,3839,33448,202,11643,5595,30087,19935
1996 Q3,202899,2550,199564,21612,14817,6421,64799,9216,4006,33895,202,11715,5504,29670,20041
1996 Q4,205440,2855,202984,21808,15058,6452,65305,9558,4155,34227,227,12102,5654,29630,20542
1997 Q1,208783,3487,205133,20992,15439,6525,65152,9996,4149,34476,209,12877,5823,29981,21666
1997 Q2,210673,2745,207439,20885,15372,6756,64698,9694,3983,35182,236,13291,5926,31563,21541
1997 Q3,213437,2791,210069,20657,15402,6836,65284,9533,3993,37721,249,13030,5979,30794,22199
1997 Q4,215655,3753,211623,21645,15364,7143,65311,9884,4127,36520,265,13172,5934,30642,22491
1998 Q1,217866,5278,212965,21368,15439,7150,65263,10149,4067,37551,286,13514,6082,30657,22098
1998 Q2,219509,4430,215125,21651,15665,7249,65792,10519,4042,35538,306,13953,6263,31075,23048
1998 Q3,223278,4266,218914,21834,15452,7340,66038,10723,3974,37868,322,14315,6321,31114,23512
1998 Q4,223130,3907,219008,21692,15279,7182,65579,10684,3845,37947,343,14840,6267,30958,23491
1999 Q1,225755,5240,220794,21680,15400,7427,66007,10671,3708,37639,353,15258,6639,30927,23965
1999 Q2,230078,6019,224497,22898,15316,7533,66707,10785,3875,39150,368,15588,6476,30820,23883
1999 Q3,232417,6368,226655,22714,15303,7659,67100,10997,3804,39108,402,16448,6284,31117,23621
1999 Q4,234208,6602,228289,21380,15370,7880,67238,11224,3779,38746,425,16552,6082,31422,25097
2000 Q1,237565,6954,231390,22390,15136,8062,67646,11451,3636,38321,483,17145,5270,31766,25525
2000 Q2,240039,7072,233805,22135,15052,8257,67849,11701,3653,40372,510,17354,6242,31816,24850
2000 Q3,242727,7240,236314,22275,15001,8538,67737,11881,3974,40006,559,17854,6740,31829,25229
2000 Q4,245076,7267,238579,22275,14865,8696,67817,11923,3916,40748,596,18081,6716,32062,25753
2001 Q1,245915,6975,239610,22361,14842,8642,68455,12392,4410,40738,593,18200,6614,32151,25163
2001 Q2,247757,8002,240633,21644,14841,8819,68745,12584,4165,41561,606,18669,6884,31453,25281
2001 Q3,251391,8382,244018,22268,14759,9175,68987,12768,4118,41079,637,19184,6929,31794,26421
2001 Q4,253365,8019,246005,22882,14611,9547,68683,12787,4134,41192,675,19155,6730,31229,27636
2002 Q1,254416,8149,247097,21806,14773,9860,68931,12968,4410,41714,667,20055,6636,31640,26726
2002 Q2,255272,8256,247922,22071,14895,9996,69281,12805,4404,41142,683,20189,6551,31679,27079
2002 Q3,257730,8256,250385,22674,14958,10217,69682,12959,4387,41828,710,20295,6425,31973,27032
2002 Q4,259797,8570,252246,23570,15124,10226,70150,13093,4334,41309,744,20253,5898,32175,27633
2003 Q1,262143,8694,254425,23232,15207,10433,70661,13006,4448,41874,783,20833,5842,32203,27737
2003 Q2,265278,8207,257765,24012,15206,10656,71327,13257,4394,42030,815,21503,5830,32324,27894
2003 Q3,266986,8023,259679,23764,15176,10754,71766,13184,4356,41667,848,22364,5825,33237,27840
2003 Q4,268323,8169,260925,23315,15125,10825,71871,13433,4386,41522,881,22648,5705,33089,28653
2004 Q1,270200,8585,262510,24251,14947,10955,72558,12946,4428,41436,966,22913,5845,33313,28118
2004 Q2,272716,8704,264969,23770,14767,10969,73137,13286,4594,41766,979,23521,5963,33440,28729
2004 Q3,274100,8893,266223,23962,14467,10906,73319,13512,4323,41983,1005,23475,6002,33492,29520
2004 Q4,276339,8749,268535,24624,14706,10986,73644,13684,4367,42979,1032,23667,5822,34094,28859
2005 Q1,279204,8811,271380,24269,14774,11229,73443,13709,4172,43415,1044,23980,5849,34179,30743
2005 Q2,279049,8288,271588,24345,14882,11220,74293,13646,4164,43139,1073,23632,5898,33628,30925
2005 Q3,282210,8470,274503,24363,15122,11442,74187,13638,4576,42979,1128,24715,5926,33504,31663
2005 Q4,283490,8145,276106,24789,15034,11726,74420,14185,4505,43565,1160,25240,5800,33831,30494
2006 Q1,282042,8242,274597,24922,14612,11758,74492,14188,3495,43087,1178,25031,5930,33503,30795
2006 Q2,282312,8238,274942,24461,14761,11760,74945,14279,3620,43104,1201,25621,6123,33611,29850
2006 Q3,284064,7653,277085,24656,14640,11936,75408,14271,4025,43485,1241,25738,6295,33776,29965
2006 Q4,284538,8657,276885,24663,14395,12027,75122,14530,4203,43190,1265,25975,5900,33414,29968
2007 Q1,287582,8672,279915,24828,14478,11710,75159,14345,4882,44101,1227,26362,6257,33294,31313
2007 Q2,290739,9016,282671,24134,14239,12044,75282,14745,5086,44015,1293,26619,6536,33739,32531
2007 Q3,296387,8555,288663,25157,14272,12388,76274,14954,5220,45992,1357,27118,6615,34134,32895
2007 Q4,296111,8063,288741,24562,14201,12374,76101,14813,5235,46382,1434,27141,5986,33303,33831
2008 Q1,297718,8592,289947,24572,14478,12579,75923,14354,5118,46795,1490,28080,5925,33654,33491
2008 Q2,293816,7054,287079,24886,14229,13090,76383,14094,5040,46284,1608,28047,5935,33386,30438
2008 Q3,288567,6866,282038,23664,14311,13081,76636,13674,4894,43132,1590,27644,5968,32989,30424
2008 Q4,281229,5586,275722,22810,14268,12945,77255,12882,4817,40806,1596,26290,5699,30534,30920
2009 Q1,280072,4588,275488,22963,13882,13706,77010,12733,4741,40050,1668,26689,5942,30571,30409
2009 Q2,279347,4296,275035,23598,14054,13515,75767,12584,4856,41214,1733,26152,6143,30077,30282
2009 Q3,280520,4463,276074,23484,14028,13449,76132,12787,4854,41691,1756,26249,6254,30158,30233
2009 Q4,282802,3879,278854,23529,14092,13436,77097,12995,4883,42399,1823,26341,6064,29642,31147
2010 Q1,281251,4371,276881,22314,13744,13575,78841,12887,4822,40992,1835,25520,6080,29201,31385
2010 Q2,288043,4289,283718,23892,13930,13532,79094,13343,5089,41276,2038,26862,6122,30953,31672
2010 Q3,288156,5023,283172,23401,13497,13698,78779,13354,5127,40844,2138,27243,6132,30833,31783
2010 Q4,288053,4074,283927,22841,13609,13495,80438,13133,5105,40751,2279,27408,5975,30896,31314
2011 Q1,285435,3817,281572,23632,13389,13483,78789,12962,5421,40552,2290,27227,6108,30466,30484
2011 Q2,284431,3933,280452,23215,13465,13890,78130,12775,5182,40588,2338,27005,6241,30523,30317
2011 Q3,285275,3781,281442,23516,13324,13722,79188,12664,5189,40264,2388,26938,6332,30700,30383
2011 Q4,286167,3820,282285,23736,13268,13852,78282,12527,5099,41042,2579,26704,6210,30581,31089
2012 Q1,285849,3124,282629,23332,13181,13837,79327,12520,5191,41706,2599,25875,6278,30721,30772
2012 Q2,288126,4247,283846,23112,12896,13879,81342,12816,5395,40284,2678,25700,6435,30513,31485
2012 Q3,291399,3966,287370,23067,12960,14084,80992,12595,5714,41021,2709,27708,6599,30963,31653
2012 Q4,295844,3985,291802,24160,13074,14333,81551,12674,6163,42314,2806,27583,5977,31952,31698
2013 Q1,294306,3627,290599,23133,13404,14802,82743,12628,6234,41958,2699,27198,5921,31509,31039
2013 Q2,297426,3653,293690,23185,12800,14748,83082,12948,6625,42966,2750,27890,6016,32123,31176
2013 Q3,301101,3722,297292,23714,13200,15094,82057,12865,6906,43819,2825,28209,6300,32535,32388
2013 Q4,302250,3906,298269,23394,12917,15181,82660,12726,6949,43053,2972,28389,5895,32732,33646
2014 Q1,303961,4390,299516,23570,12887,14968,82798,13051,6928,43246,2874,28312,6169,32922,34239
2014 Q2,306730,4064,302589,23632,12414,15279,83020,13165,6853,44573,3080,28562,6425,32980,34789
2014 Q3,310884,4185,306620,23781,12434,15171,83499,13478,6679,45080,3299,29567,6660,32909,36005
2014 Q4,311922,5638,306295,23865,12262,15252,83526,13699,6564,45900,3442,29491,6354,32530,35072
2015 Q1,314985,5765,309261,23682,12212,15472,84832,14061,6766,45654,3551,29764,6622,33546,34861
2015 Q2,316696,5271,311440,23791,11949,15922,85319,14230,6760,45923,3715,30256,6863,33311,35016
2015 Q3,320984,6885,314243,24043,11932,16120,86305,14396,6889,46495,3822,30200,7045,33460,35120
2015 Q4,319709,6041,313771,24058,11926,16298,85192,14916,6951,46299,3969,29734,6921,33791,35114
2016 Q1,326708,5828,320890,25045,11719,16197,87455,14549,7038,48282,4314,29774,7064,33780,36844
2016 Q2,329914,5912,324015,25680,11731,16413,88849,14705,6972,47687,4579,29540,7193,34389,37240
2016 Q3,332474,5977,326504,26309,11575,16696,87673,15200,7315,48264,4792,29579,7246,34796,37852
2016 Q4,332130,4784,327284,26386,11565,16871,87651,15390,7188,47768,5026,30477,7087,35055,37443
2017 Q1,334933,4715,330168,26387,11726,16791,86780,15559,7318,48709,4880,31191,7165,36011,38446
2017 Q2,334963,4962,329993,26997,11853,16387,86668,15798,7408,47227,5062,31470,7255,35583,38881
2017 Q3,337224,4463,332736,26580,11825,16479,86909,15934,7127,48430,5319,32377,7337,36005,38948
2017 Q4,338888,4841,334047,26834,11892,16373,86917,15987,7324,49342,5546,32298,7273,35468,39234
2018 Q1,341374,5550,335815,26852,11835,16565,88190,16354,7187,48940,5745,32202,7391,36003,38901
2018 Q2,341220,5740,335465,26834,12037,16702,87668,16113,7309,49409,6103,31212,7489,36020,38807
2018 Q3,343847,6566,337269,27431,12096,16878,87708,16294,7174,48581,6333,31838,7528,35904,39604
2018 Q4,347610,6824,340775,27568,11959,16690,88074,16684,7359,48722,6647,32789,7360,35665,41226
2019 Q1,346305,5676,340628,27428,11887,17345,87937,16490,7404,48848,6665,32621,7405,35739,40881
2019 Q2,348077,5895,342185,27320,11638,17438,88493,17029,7145,49225,7036,33455,7436,35605,40369
2019 Q3,347094,6541,340545,27595,11781,17616,87714,16888,7037,47959,7043,33257,7464,35892,40299
2019 Q4,346188,6171,340023,27982,11665,17453,88066,16406,7023,47247,7213,33053,7358,35938,40593
2020 Q1,336134,4435,331699,29695,11890,15494,88551,16915,6787,42682,7359,32157,7526,33539,39104
2020 Q2,259158,230,258928,30228,13274,11946,89188,15975,4766,17217,6995,23989,6577,6475,32298
2020 Q3,308681,569,308112,29635,13176,14501,88926,18312,5755,33989,7517,27508,6972,24846,36975
2020 Q4,304080,707,303373,29650,13186,14309,89714,17529,6458,31345,7200,29036,7121,21158,36667
2021 Q1,293162,487,292675,30872,12644,14489,90142,16850,5872,27560,7179,29427,7750,14844,35046
2021 Q2,323107,590,322517,30455,12829,17085,90820,18667,6150,34681,7532,31288,7889,27654,37467
2021 Q3,332459,2574,329885,29759,12208,16364,89276,17636,6300,37378,7461,31350,7996,36627,37530
2021 Q4,334662,2683,331979,29617,11953,16968,89408,17621,6173,39890,7587,31871,7816,35793,37282
2022 Q1,336738,2458,334280,28807,11514,17966,89579,18036,6070,38111,7751,32967,7945,37865,37669
2022 Q2,337005,1207,335798,28653,11682,17367,89631,17503,6460,40585,7585,32788,8080,38098,37366
2022 Q3,335174,1728,333446,28130,11316,16538,90030,16748,6683,40075,7358,32377,8193,38604,37394
